cenario,algoritmo,metrica,n_seeds,media,desvio_padrao,ic95_inferior,ic95_superior,margem_ic95
cpu_bound,epa,turnaround_medio,100,20002.7711,508.80466374543084,19903.045385905898,20102.496814094106,99.72571409410445
cpu_bound,epa,trocas_contexto,100,1497.89,16.56630083127562,1494.64300503707,1501.1369949629302,3.246994962930021
cpu_bound,epa,slowdown_medio,100,487.7093022210836,8.574539147199502,486.02869254823247,489.3899118939347,1.6806096728511022
cpu_bound,epa,jain_slowdown_pct,100,77.73685465481857,0.7181879041960446,77.59608982559615,77.87761948404099,0.14076482922242475
cpu_bound,fcfs,turnaround_medio,100,20001.14242,508.6641134252449,19901.444253768652,20100.84058623135,99.698166231348
cpu_bound,fcfs,trocas_contexto,100,1497.89,16.56630083127562,1494.64300503707,1501.1369949629302,3.246994962930021
cpu_bound,fcfs,slowdown_medio,100,487.72092242140985,8.574153389912974,486.0403883569869,489.4014564858328,1.6805340644229427
cpu_bound,fcfs,jain_slowdown_pct,100,77.73033285982171,0.7181116036315109,77.58958298550994,77.8710827341335,0.14074987431177616
cpu_bound,prioridade,turnaround_medio,100,17935.291100000002,397.7819954385577,17857.325828894045,18013.25637110596,77.96527110595731
cpu_bound,prioridade,trocas_contexto,100,1497.89,16.56630083127562,1494.64300503707,1501.1369949629302,3.246994962930021
cpu_bound,prioridade,slowdown_medio,100,495.74230990691615,10.856116174901969,493.6145111366354,497.8701086771969,2.127798770280786
cpu_bound,prioridade,jain_slowdown_pct,100,57.04184567950653,0.9873551721627233,56.84832406576263,57.23536729325043,0.19352161374389376
cpu_bound,round_robin,turnaround_medio,100,34231.814249999996,693.9058878250928,34095.80869598628,34367.819804013714,136.00555401371818
cpu_bound,round_robin,trocas_contexto,100,10829.24,156.74357364430568,10798.518259565715,10859.961740434284,30.721740434283912
cpu_bound,round_robin,slowdown_medio,100,845.8393432903719,8.47057440199011,844.1791107075818,847.4995758731619,1.6602325827900615
cpu_bound,round_robin,jain_slowdown_pct,100,94.28718044083733,0.30313509393484106,94.2277659624261,94.34659491924856,0.05941447841122884
equilibrado,epa,turnaround_medio,100,22731.50218,765.1823492222494,22581.52643955244,22881.47792044756,149.9757404475609
equilibrado,epa,trocas_contexto,100,3495.68,59.69313447148092,3483.9801456435894,3507.3798543564103,11.69985435641026
equilibrado,epa,slowdown_medio,100,531.0852527790275,19.28400937193449,527.3055869421283,534.8649186159267,3.7796658368991602
equilibrado,epa,jain_slowdown_pct,100,41.009715343987594,6.807225956654586,39.6754990564833,42.34393163149189,1.3342162875042987
equilibrado,fcfs,turnaround_medio,100,22730.90696,765.0940471254142,22580.94852676342,22880.86539323658,149.9584332365812
equilibrado,fcfs,trocas_contexto,100,3495.68,59.69313447148092,3483.9801456435894,3507.3798543564103,11.69985435641026
equilibrado,fcfs,slowdown_medio,100,531.1362276398794,19.28599399068518,527.3561728177051,534.9162824620537,3.7800548221742956
equilibrado,fcfs,jain_slowdown_pct,100,41.00558435324969,6.803707301172274,39.672057722219925,42.33911098427945,1.3335266310297658
equilibrado,prioridade,turnaround_medio,100,18600.48152,508.31639326705755,18500.85150691966,18700.111533080344,99.63001308034328
equilibrado,prioridade,trocas_contexto,100,3495.68,59.69313447148092,3483.9801456435894,3507.3798543564103,11.69985435641026
equilibrado,prioridade,slowdown_medio,100,760.8809388620555,67.1126346464512,747.7268624713511,774.0350152527599,13.154076390704436
equilibrado,prioridade,jain_slowdown_pct,100,12.944997500609688,2.949192979499881,12.366955676627711,13.523039324591664,0.5780418239819766
equilibrado,round_robin,turnaround_medio,100,28568.690469999998,921.6794458547507,28388.04129861247,28749.339641387527,180.64917138753114
equilibrado,round_robin,trocas_contexto,100,10483.44,207.47385474811134,10442.77512446937,10524.104875530631,40.66487553062982
equilibrado,round_robin,slowdown_medio,100,602.2227075053394,8.962148467628941,600.4661264056841,603.9792886049946,1.7565810996552724
equilibrado,round_robin,jain_slowdown_pct,100,79.64407775810584,3.0901131641078066,79.03841557794071,80.24973993827096,0.6056621801651301
io_bound,epa,turnaround_medio,100,16146.01126,257.5025642143826,16095.54075741398,16196.481762586018,50.47050258601898
io_bound,epa,trocas_contexto,100,6495.16,59.67076674587317,6483.464529717809,6506.855470282191,11.695470282191142
io_bound,epa,slowdown_medio,100,310.72286332996805,3.2544410369609755,310.0849928867237,311.3607337732124,0.6378704432443512
io_bound,epa,jain_slowdown_pct,100,92.78948736724857,0.41393878925200794,92.70835536455517,92.87061936994196,0.08113200269339356
io_bound,fcfs,turnaround_medio,100,16148.74166,257.5699884099062,16098.257942271659,16199.22537772834,50.48371772834162
io_bound,fcfs,trocas_contexto,100,6495.16,59.682784347538174,6483.462174267883,6506.857825732117,11.697825732117483
io_bound,fcfs,slowdown_medio,100,310.7720084400236,3.2549168501988603,310.13404473738467,311.4099721426626,0.6379637026389766
io_bound,fcfs,jain_slowdown_pct,100,92.80812060179036,0.41431441680174885,92.72691497609722,92.88932622748351,0.08120562569314277
io_bound,prioridade,turnaround_medio,100,11104.7728,169.07091310721992,11071.634901030986,11137.910698969015,33.137898969015104
io_bound,prioridade,trocas_contexto,100,6495.16,59.6805841225781,6483.462605511974,6506.857394488025,11.697394488025306
io_bound,prioridade,slowdown_medio,100,225.35836969266728,3.434715757261964,224.68516540424395,226.03157398109062,0.6732042884233449
io_bound,prioridade,jain_slowdown_pct,100,65.34805160062717,0.9460082652985695,65.16263398062866,65.53346922062569,0.18541761999851963
io_bound,round_robin,turnaround_medio,100,16148.74166,257.5699884099062,16098.257942271659,16199.22537772834,50.48371772834162
io_bound,round_robin,trocas_contexto,100,6495.16,59.682784347538174,6483.462174267883,6506.857825732117,11.697825732117483
io_bound,round_robin,slowdown_medio,100,310.7720084400236,3.2549168501988603,310.13404473738467,311.4099721426626,0.6379637026389766
io_bound,round_robin,jain_slowdown_pct,100,92.80812060179036,0.41431441680174885,92.72691497609722,92.88932622748351,0.08120562569314277
prioridades_desbalanceadas,epa,turnaround_medio,100,22759.302089999997,780.4274076839854,22606.338318093935,22912.26586190606,152.96377190606114
prioridades_desbalanceadas,epa,trocas_contexto,100,3495.65,59.674601639291076,3483.953778078699,3507.346221921301,11.696221921301051
prioridades_desbalanceadas,epa,slowdown_medio,100,526.0668667028543,18.691137724143484,522.4034037089222,529.7303296967865,3.663462993932123
prioridades_desbalanceadas,epa,jain_slowdown_pct,100,42.854873977493206,5.966803769989446,41.68538043857527,44.02436751641114,1.1694935389179313
prioridades_desbalanceadas,fcfs,turnaround_medio,100,22758.61736,780.3084904811299,22605.676895865698,22911.557824134303,152.94046413430144
prioridades_desbalanceadas,fcfs,trocas_contexto,100,3495.65,59.674601639291076,3483.953778078699,3507.346221921301,11.696221921301051
prioridades_desbalanceadas,fcfs,slowdown_medio,100,526.1126021992712,18.692321330579027,522.4489072184778,529.7762971800647,3.663694980793489
