seed,cenario,algoritmo,num_processos,total_seeds,quantum,custo_troca,turnaround_medio,trocas_contexto,slowdown_medio,jain_slowdown_pct
11,io_bound,prioridade,1000,100,4,1,11172.451,6559,222.16887740620024,65.61862303752022
11,io_bound,round_robin,1000,100,4,1,16351.263,6559,311.0522396702151,92.66870526130795
11,prioridades_desbalanceadas,epa,1000,100,4,1,22560.48,3559,513.6067242401226,40.50076570747018
11,prioridades_desbalanceadas,fcfs,1000,100,4,1,23487.602,3559,529.0726869863438,45.18984447762534
11,prioridades_desbalanceadas,prioridade,1000,100,4,1,19640.025,3559,722.2885449032626,13.506537806143683
11,prioridades_desbalanceadas,round_robin,1000,100,4,1,29431.322,10696,596.1554433160385,82.61071546098239
12,cpu_bound,epa,1000,100,4,1,20424.344,1484,482.6754872197523,80.7443891171481
12,cpu_bound,fcfs,1000,100,4,1,19711.859,1484,495.62102230118904,77.95493056364985
12,cpu_bound,prioridade,1000,100,4,1,17490.233,1484,493.36341748628405,56.97564976879287
12,cpu_bound,round_robin,1000,100,4,1,33589.302,10600,849.7709854204152,94.33147180912086
12,equilibrado,epa,1000,100,4,1,21078.946,3420,536.4770831638536,33.378139169651
12,equilibrado,fcfs,1000,100,4,1,21904.391,3420,537.9713806818023,42.30594339295679
12,equilibrado,prioridade,1000,100,4,1,17804.545,3420,767.3636345672646,10.166394753295704
12,equilibrado,round_robin,1000,100,4,1,27619.107,10182,609.5346295108229,80.9767472422543
12,io_bound,epa,1000,100,4,1,9790.394,6413,206.30785896903768,61.88915129892216
12,io_bound,fcfs,1000,100,4,1,15916.06,6420,312.1746636180983,92.75010350534609
12,io_bound,prioridade,1000,100,4,1,10982.814,6420,226.92210443344396,65.07131512135942
12,io_bound,round_robin,1000,100,4,1,15916.06,6420,312.1746636180983,92.75010350534609
12,prioridades_desbalanceadas,epa,1000,100,4,1,21341.236,3420,566.0755420651475,28.006115426046613
12,prioridades_desbalanceadas,fcfs,1000,100,4,1,22149.117,3420,579.858559607331,30.72476120467813
12,prioridades_desbalanceadas,prioridade,1000,100,4,1,18900.725,3420,759.3609467946189,12.953245051400351
12,prioridades_desbalanceadas,round_robin,1000,100,4,1,27788.133,10283,611.8458645353332,74.39441462957767
13,cpu_bound,epa,1000,100,4,1,21187.559,1505,493.09066308687176,81.19111024842816
13,cpu_bound,fcfs,1000,100,4,1,20174.572,1505,497.10223424776444,77.46528503185834
13,cpu_bound,prioridade,1000,100,4,1,18065.949,1505,507.64347297353197,56.1000248707618
13,cpu_bound,round_robin,1000,100,4,1,34229.765,10798,850.2639122713811,94.39828030994715
13,equilibrado,epa,1000,100,4,1,22111.08,3494,580.672376399604,27.4018555608091
13,equilibrado,fcfs,1000,100,4,1,22860.294,3494,563.7737964705063,34.73523524293004
13,equilibrado,prioridade,1000,100,4,1,18941.642,3494,870.392972504661,11.697763746923394
13,equilibrado,round_robin,1000,100,4,1,28538.11,10496,614.5565447138703,76.46468473789999
13,io_bound,epa,1000,100,4,1,10008.434,6489,207.44309096005622,62.56195099173536
13,io_bound,fcfs,1000,100,4,1,16349.973,6494,315.537434344384,93.30800601854234
13,io_bound,prioridade,1000,100,4,1,11205.584,6494,227.3673055900653,65.64577709635617
13,io_bound,round_robin,1000,100,4,1,16349.973,6494,315.537434344384,93.30800601854234
13,prioridades_desbalanceadas,epa,1000,100,4,1,22189.617,3494,547.1893931918846,38.15648747160473
13,prioridades_desbalanceadas,fcfs,1000,100,4,1,22830.747,3494,547.0985396322947,41.6409295210946
13,prioridades_desbalanceadas,prioridade,1000,100,4,1,19341.596,3494,770.8996386840622,12.664829342227579
13,prioridades_desbalanceadas,round_robin,1000,100,4,1,28481.876,10469,608.5371262236899,80.10629769366845
14,cpu_bound,epa,1000,100,4,1,20904.263,1508,485.92037535034916,81.01516810104269
